pmid,title,abstract,year,is_review,disorders,neurotransmitters,publication_types
15296846,Cognitive and neurological deficits induced by early and prolonged basal forebrain cholinergic hypofunction in rats.,"In the present study we examined the long-term effects of neonatal lesion of basal forebrain cholinergic neurons induced by intracerebroventricular injections of the immunotoxin 192 IgG saporin. Animals were then characterised behaviourally, electrophysiologically and molecularly. Cognitive effects were evaluated in the social transmission of food preferences, a non-spatial associative memory task. Electrophysiological effects were assessed by recording of cortical electroencephalographic (EEG) patterns. In addition, we measured the levels of proteins whose abnormal expression has been associated with neurodegeneration such as amyloid precursor protein (APP), presenilin 1 and 2 (PS-1, PS-2), and cyclooxygenases (COX-1 and COX-2). In animals lesioned on postnatal day 7 and tested 6 months thereafter, memory impairment in the social transmission of food preferences was evident, as well as a significant reduction of choline acetyltransferase activity in hippocampus and neocortex. Furthermore, similar to what observed in Alzheimer-like dementia, EEG cortical patterns in lesioned rats presented changes in alpha, beta and delta activities. Levels of APP protein and mRNA were not affected by the treatment. Levels of hippocampal COX-2 protein and mRNA were significantly decreased whereas COX-1 remained unaltered. PS-1 and PS-2 transcripts were reduced in hippocampus and neocortex. These findings indicate that neonatal and permanent basal forebrain cholinergic hypofunction is sufficient to induce behavioural and neuropathological abnormalities. This animal model could represent a valid tool to evaluate the role played by abnormal cholinergic maturation in later vulnerability to neuropathological processes associated with cognitive decline and, possibly, to Alzheimer-like dementia.",2004,False,Anxiety_Disorders,Acetylcholine,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't"
2873561,Neurochemical and neuroendocrine dysregulation in affective disorders.,"Depressed patients demonstrate dysregulation in multiple neurochemical and neuroendocrine systems. The observed abnormalities are often subtle, involving ""inefficiencies"" in stress-responsive systems. Norepinephrine, acetylcholine, the hypothalamic-pituitary-adrenal axis, and the hypothalamic-pituitary-thyroid axis are among the major biochemical and hormonal sites of dysregulation in depression.",1986,False,Anxiety_Disorders,Acetylcholine,Journal Article
2880440,[Clinical and experimental studies of the role of neuromediator systems in the pathogenesis of neurosis and neurosis-like states].,Clinical studies revealed a significant increase in the peripheral blood levels of noradrenaline in patients with different forms of neurosis and neurosis-like states as compared to control subjects as well as heterogeneous or unidirectional but differently pronounced changes in blood levels of acetylcholine and adrenaline. Comparison of the clinical findings with the results of dynamic assays for peripheral levels of acetylcholine and catecholamine in dogs exposed to special psychogenic and physiogenic impacts has helped to form an understanding about some common mechanisms of the formation of neuroses and neurosis-like states. The authors emphasize the consistency of neuromediator shifts in the blood of patients and the possibility of using this parameter for the differential diagnosis of various forms of neurotic disturbances at the initial stage of the disease.,1986,False,Anxiety_Disorders,Acetylcholine,English Abstract; Journal Article
6125381,"[Anxiety, depression and the pathology of emotion (author's transl)].","Each word in the above title, which has been graciously proposed to us, would need a long description defining its semantic contents at all organizational levels: biochemical, physiological, behavioural, psychological, sociological and so on. We have proposed an overview of the subject which is personal and interdisciplinary, but not exhaustive. We have tried to show why ""anxiety"" is due to ""action inhibition"". We have outlined the chief biochemical and neurophysiological, mechanisms which result in action inhibition. We have not entered into the nosological details of depression states. Rather, the clinical forms of depression, their common denominator, at all levels, biochemical, neurophysiological, psychological and sociological, is an outcome of the action inhibition system. We have also insisted upon the crucial role of memory and learning processes in depressive states and have added to this the process of imprinting. Finally, we have mentioned the active and retroactive (feed-back) actions of hormones and polypeptides within the brain, as well as the preferential use, in occidental civilisation, of left hemispheric rather than both, right and left interconnected hemispheric activities.",1982,False,Anxiety_Disorders,Acetylcholine,Journal Article
264009,The influence of experimental neurosis on the conditional reflexes and the content of blood catecholamines and acetylcholine in dogs.,"Using experimental neurosis as a model, we investigated the mode of adaptive behavior, conditional reflexes and the blood level of neuromediators in four dogs placed in certain versus uncertain conditions in a Pavlovian laboratory. The research consisted of a two year training program with predictable (ordered partial reinforcement) followed by unpredictable (probabilistic reinforcement) situations. As a result, there was a decline in the acetylcholine as compared to a rise of catecholamine levels of the peripheral blood of some of these dogs. There were varied autonomic responses indicating a possible individual response specificity. In one dog, there was a disappearance of motor defense reflexes. The results support the hypothesis that probabilistic reinforcement following ordered partial reinforcement contributed to the dogs' neurotic disintegration, i.e., uncertainty is a cause of neurotic development.",1979,False,Anxiety_Disorders,Acetylcholine,Journal Article
569945,[Conditioned reactions and mediator-humoral shifts during neurotization in a probabilistic pain reinforcement situation].,"Substitution of regular partial reinforcement for random one (in both cases the reinforcement frequency was 50%) acted in some dogs as a neurotizing factor: they showed unrest, stable defensive reflexes disappeared, corresponding changes were observed in vegetative reactions. At the same time activation of the sympatho-adrenal system was recorded along with a drop in concentration of acetylcholine in peripheric blood. It is noted that the development of neurotic disturbances in dogs in these conditions were to a certain degree dependent of the dominating motivation.",1978,False,Anxiety_Disorders,Acetylcholine,English Abstract; Journal Article
17305,Benzodiazepines: behavioral and neurochemical mechanisms.,"The therapeutic effects of benzodiazepines in psychoneurosis may depend in part on their ability to release or disinhibit a patient's anxiety-suppressed gratification-seeking behavior. Benzodiazepines may disinhibit behavior by reducing the activity of serotonin (and possibly acetylcholine) neurons in the brain's ""punishment"" system. Reduction of serotonin transmission may be due to a facilitation of gamma-aminobutyric acid (GABA)-mediated presynaptic inhibition at the serotonin nerve terminal.",1977,False,Anxiety_Disorders,Acetylcholine,Journal Article
41420895,"Mapping dopamine's role in obsessive-compulsive disorder: A scoping review of neural circuits, brain regions, and behavioral implications.","Dopamine plays a central role in various brain functions and has been implicated in the pathophysiology of obsessive-compulsive disorder (OCD). This scoping review examines the role of dopamine in OCD, focusing on its impact on neural circuits, brain regions, and behavioral manifestations. Evidence from 19 studies reveals consistent dopaminergic dysfunction across key brain structures, particularly in the cortico-striato-thalamo-cortical (CSTC) circuits. Altered dopamine receptor availability was observed in the dorsal striatum, ventral striatum, and anterior cingulate cortex, contributing to cognitive rigidity, emotional dysregulation, and compulsive behaviors. Pharmacological findings highlight the complexity of dopamine's role, with both hyperdopaminergic and hypodopaminergic states influencing symptoms. Dopamine antagonists and partial agonists have demonstrated efficacy in targeting overactivation of striatum and restoring cortical balance. These findings underscore the importance of dopamine as a therapeutic target and highlight the need for circuit-specific interventions and tailored treatment strategies.",2026,True,Anxiety_Disorders; Obsessive-Compulsive_Disorder,Dopamine,Scoping Review; Journal Article; Review
41564196,"Dopamine dysfunction beyond psychosis: Reevaluating its role in depression, anxiety, and obsessive-compulsive disorder.","Dopaminergic dysfunction has traditionally been associated with psychotic disorders. However, emerging evidence implicates dopamine in a broader range of psychiatric conditions. This review critically reexamines dopamine's role beyond psychosis, focusing on major depressive disorder, anxiety disorders, and obsessive-compulsive disorder (OCD)-three high-burden conditions where current treatments remain suboptimal for many patients. This review is conducted to synthesise and critically evaluate the evidence for dopamine dysfunction as a transdiagnostic mechanism underpinning core symptom domains across depression, anxiety, and OCD. Consistent patterns of dopamine dysregulation were identified in mesolimbic and mesocortical pathways, as well as the cortico-striatal-thalamo-cortical (CSTC) loop. Common symptom dimensions-such as anhedonia, apathy, compulsivity, and cognitive inflexibility-were linked to region-specific dopamine deficits. Furthermore, gene-environment interactions and inflammation-induced suppression of dopamine emerged as shared etiological factors. Dopaminergic agents (e.g., bupropion, pramipexole, aripiprazole), neuromodulatory approaches (e.g., TMS, DBS), and biomarker-guided interventions showed promise, particularly in treatment-resistant or subtype-specific presentations. Dopamine dysfunction is a core, transdiagnostic mechanism in depression, anxiety, and OCD, affecting key circuits involved in reward, motivation, and cognitive control. Integrating dopaminergic biomarkers and interventions into psychiatric care may facilitate personalised treatment and improve clinical outcomes.",2025,True,Anxiety_Disorders; Depressive_Disorder; Obsessive-Compulsive_Disorder,Dopamine,Journal Article; Review
36237160,Pharmacological and Physiological Correlates of the Bidirectional Fear Phenotype of the Carioca Rats and Other Bidirectionally Selected Lines.,"The Carioca rat lines originated from the selective bidirectional breeding of mates displaying extreme defense responses to contextual conditioned fear. After three generations, two distinct populations could be distinguished: the Carioca High- and Low-conditioned Freezing rats, CHF, and CLF, respectively. Later studies identified strong anxiety-like behaviors in the CHF line, while indications of impulsivity and hyperactivity were prominent in the CLF animals. The present review details the physiological and pharmacological-related findings obtained from these lines. The results discussed here point towards a dysfunctional fear circuitry in CHF rats, including alterations in key brain structures and the serotoninergic system. Moreover, data from these animals highlight important alterations in the stress-processing machinery and its associated systems, such as energy metabolism and antioxidative defense. Finally, evidence of an alteration in the dopaminergic pathway in CLF rats is also debated. Thus, accumulating data gathered over the years, place the Carioca lines as significant animal models for the study of psychiatric disorders, especially fear-related ones like anxiety.",2023,True,Anxiety_Disorders,Dopamine,Review; Journal Article
35013130,Comprehensive exploration of the genetic contribution of the dopaminergic and serotonergic pathways to psychiatric disorders.,"Psychiatric disorders are highly prevalent and display considerable clinical and genetic overlap. Dopaminergic and serotonergic neurotransmission have been shown to play an important role in many psychiatric disorders. Here we aim to assess the genetic contribution of these systems to eight psychiatric disorders (attention-deficit hyperactivity disorder (ADHD), anorexia nervosa (ANO), autism spectrum disorder (ASD), bipolar disorder (BIP), major depression (MD), obsessive-compulsive disorder (OCD), schizophrenia (SCZ) and Tourette's syndrome (TS)) using publicly available GWAS analyses performed by the Psychiatric Genomics Consortium that include more than 160,000 cases and 275,000 controls. To do so, we elaborated four different gene sets: two 'wide' selections for dopamine (DA) and for serotonin (SERT) using the Gene Ontology and KEGG pathways tools, and two'core' selections for the same systems, manually curated. At the gene level, we found 67 genes from the DA and/or SERT gene sets significantly associated with one of the studied disorders, and 12 of them were associated with two different disorders. Gene-set analysis revealed significant associations for ADHD and ASD with the wide DA gene set, for BIP with the wide SERT gene set, and for MD with the core SERT set. Interestingly, interrogation of a cross-disorder GWAS meta-analysis of the eight psychiatric conditions displayed association with the wide DA gene set. To our knowledge, this is the first systematic examination of genes encoding proteins essential to the function of these two neurotransmitter systems in these disorders. Our results support a pleiotropic contribution of the dopaminergic and serotonergic systems in several psychiatric conditions.",2022,False,Anxiety_Disorders; Bipolar_Disorder; Obsessive-Compulsive_Disorder; Schizophrenia,Dopamine,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't"
33660146,The Relationship Between Anxiety Disorders and Parkinson's Disease: Clinical and Therapeutic Issues.,"This paper seeks to describe anxiety's different symptomatologic presentations in Parkinson's disease (PD), its longitudinal course and predictors, as well as its motor and non-motor correlates. It also reviews the available screening tools and different treatment modalities. In PD, longitudinal predictors of anxiety are mostly non-motor non-dopaminergic symptoms. The longitudinal course of anxiety is mainly a stable one. The Parkinson Anxiety Scale and the Geriatric Anxiety Scale are the 2 recommended screening tools. A third of PD patients suffer from an anxiety disorder at any time point. It can precede or follow PD motor symptoms. Anxiety is associated with demographic, disease-related motor and non-motor features. There is a lack of studies evaluating psychotropic treatment of anxiety in PD. Adjustment of dopaminergic treatment is indicated when anxiety is associated with motor fluctuations. DBS can be useful as well as CBT and body-mind interventions.",2021,True,Anxiety_Disorders,Dopamine,Journal Article; Review
33751503,Pharmacotherapeutic Strategies and New Targets in OCD.,"Effective pharmacological and psychotherapeutic treatments are well established for obsessive-compulsive disorder (OCD). Serotonin reuptake inhibitors (SRIs) are first-line treatment and are of benefit to about half of patients. Augmentation of SRI treatment with low-dose neuroleptics is an evidence-based second-line strategy. Specialty psychotherapy is also used as both first-line and second-line treatment and can benefit many. However, a substantial number of patients do not respond to these treatments. New alternatives are urgently needed. This review summarizes evidence for these established pharmacotherapeutic strategies, and for others that have been investigated in refractory disease but are not supported by the same level of evidence. We focus on three neurotransmitter systems in the brain: serotonin, dopamine, and glutamate. We summarize evidence from genetic, neuroimaging, animal model, and other lines of investigation that probe these three systems in patients with OCD. We also review recent work on predictors of response to current treatments. While many studies suggest abnormalities that may provide insight into the pathophysiology of the disorder, most studies have been small, and non-replication of reported findings has been common. Nevertheless, the gradual accrual of evidence for neurotransmitter dysregulation may in time lead the way to new pharmacological strategies.",2021,True,Anxiety_Disorders; Obsessive-Compulsive_Disorder,Dopamine; Serotonin,Journal Article; Review
32002931,Biological and Clinical Markers to Differentiate the Type of Anxiety Disorders.,"The present chapter is an overview of possible biomarkers which distinguish anxiety disorders as classified by the DSM-5. Structural or activity changes in the brain regions; changes in N-acetylaspartate/creatine, dopamine, serotonin, and oxytocin; hearth rate variability; hypothalamic-pituitary-adrenal axis activity; error-related negativity; respiratory regulation; and genetic variants are proposed. However, their clinical utility is questionable due to low specificity and sensitivity: the majority does not distinguish subjects with different anxiety disorders, and they might be influenced by stress, comorbidity, physical activity, and psychotropic medications. In this framework, the staging model, a clinimetric tool which allows to define the degree of progression of a disease at a point in time and where the patient is located on the continuum of the course of the disease, is proposed since several DSM anxiety disorders take place at different stages of the same syndrome according to the staging model. Thus, a stage-specific biomarker model for anxiety disorders is hypothesized and illustrated.",2020,True,Anxiety_Disorders,Dopamine; Serotonin,Journal Article; Review
31443103,"Sleep disturbance in PTSD and other anxiety-related disorders: an updated review of clinical features, physiological characteristics, and psychological and neurobiological mechanisms.","The current report provides an updated review of sleep disturbance in posttraumatic stress disorder and anxiety-related disorders. First, this review provides a summary description of the unique and overlapping clinical characteristics and physiological features of sleep disturbance in specific DSM anxiety-related disorders. Second, this review presents evidence of a bidirectional relationship between sleep disturbance and anxiety-related disorders, and provides a model to explain this relationship by integrating research on psychological and neurocognitive processes with a current understanding of neurobiological pathways. A heuristic neurobiological framework for understanding the bidirectional relationship between abnormalities in sleep and anxiety-related brain pathways is presented. Directions for future research are suggested.",2020,True,Anxiety_Disorders; PTSD,Dopamine; Gamma-Aminobutyric_Acid,Journal Article; Review
30179855,Understanding the role of dopamine in conditioned and unconditioned fear.,"Pharmacological and molecular imaging studies in anxiety disorders have primarily focused on the serotonin system. In the meantime, dopamine has been known as the neurotransmitter of reward for 60 years, particularly for its action in the nervous terminals of the mesocorticolimbic system. Interest in the mediation by dopamine of the well-known brain aversion system has grown recently, particularly given recent evidence obtained on the role of D2 dopamine receptors in unconditioned fear. However, it has been established that excitation of the mesocorticolimbic pathway, originating from dopaminergic (DA) neurons from the ventral tegmental area (VTA), is relevant for the development of anxiety. Among the forebrain regions innervated by this pathway, the amygdala is an essential component of the neural circuitry of conditioned fear. Current findings indicate that the dopamine D2 receptor-signaling pathway connecting the VTA to the basolateral amygdala modulates fear and anxiety, whereas neural circuits in the midbrain tectum underlie the expression of innate fear. The A13 nucleus of the zona incerta is proposed as the origin of these DA neurons projecting to caudal structures of the brain aversion system. In this article we review data obtained in studies showing that DA receptor-mediated mechanisms on ascending or descending DA pathways play opposing roles in fear/anxiety processes. Dopamine appears to mediate conditioned fear by acting at rostral levels of the brain and regulate unconditioned fear at the midbrain level.",2019,True,Anxiety_Disorders,Dopamine,"Journal Article; Research Support, Non-U.S. Gov't; Review"
30291197,Nuclear Neuroimaging in Social Anxiety Disorder: A Review.,"In psychiatric research, nuclear imaging complements MRI. A recent neuroimaging review of social anxiety disorder focused predominantly on MRI, omitting the contribution of nuclear imaging methods. Nuclear imaging investigations of neural activity are sparse but have generally yielded results consistent with studies performed using MRI. Evidence for disturbances in neurotransmitter systems in social anxiety disorder is limited but suggestive of both serotonergic and dopaminergic dysfunction. Research focusing on additional molecular targets using existing and novel tracers, combined with recent technologic innovations and trends in collaborative methodology, may shape future nuclear imaging endeavors in this field.",2018,True,Anxiety_Disorders,Dopamine; Serotonin,"Journal Article; Research Support, Non-U.S. Gov't; Review"
